policy,total_profit,total_moved,n_nights,moved_per_1000_nights,k
avg_rate,4491372.070787437,6521,329,19820.668693009116,1.5
model,3780737.5796422963,29,329,88.14589665653496,1.5
fixed,3437919.391312138,33,329,100.30395136778115,1.5
no_overbook,2945320.7990347007,0,329,0.0,1.5
avg_rate,4031031.5004758565,6521,329,19820.668693009116,2.0
model,3767921.538574613,27,329,82.06686930091185,2.0
fixed,3436207.652477777,33,329,100.30395136778115,2.0
no_overbook,2945320.7990347007,0,329,0.0,2.0
model,3761026.9685692494,26,329,79.0273556231003,3.0
fixed,3432784.1748090545,33,329,100.30395136778115,3.0
avg_rate,3110350.3598526944,6521,329,19820.668693009116,3.0
no_overbook,2945320.7990347007,0,329,0.0,3.0
