policy,total_profit,total_moved,n_nights,moved_per_1000_nights,k
avg_rate,1166669.1577439257,1502,204,7362.745098039215,1.5
model,993375.1231346711,35,204,171.5686274509804,1.5
fixed,900089.3894550161,70,204,343.1372549019608,1.5
no_overbook,792662.6573881672,0,204,0.0,1.5
avg_rate,1113503.8261410634,1502,204,7362.745098039215,2.0
model,993128.9058313933,34,204,166.66666666666666,2.0
fixed,898073.1934988889,70,204,343.1372549019608,2.0
no_overbook,792662.6573881672,0,204,0.0,2.0
avg_rate,1007173.1629353389,1502,204,7362.745098039215,3.0
model,989421.9249366736,27,204,132.35294117647058,3.0
fixed,894040.8015866341,70,204,343.1372549019608,3.0
no_overbook,792662.6573881672,0,204,0.0,3.0
