arrival_month,hotel,bookings,cancellations,cancellation_rate
2015-07,City Hotel,1396,939,0.6726361031518625
2015-07,Resort Hotel,1378,320,0.23222060957910015
2015-08,City Hotel,2474,1232,0.49797898140662894
2015-08,Resort Hotel,1409,366,0.25975869410929736
2015-09,City Hotel,3524,1542,0.4375709421112372
2015-09,Resort Hotel,1585,551,0.3476340694006309
2015-10,City Hotel,3382,1321,0.3905972797161443
2015-10,Resort Hotel,1569,411,0.26195028680688337
2015-11,City Hotel,1233,301,0.2441200324412003
2015-11,Resort Hotel,1104,185,0.16757246376811594
2015-12,City Hotel,1649,668,0.4050939963614312
2015-12,Resort Hotel,1264,305,0.2412974683544304
2016-01,City Hotel,1364,438,0.32111436950146627
2016-01,Resort Hotel,884,119,0.1346153846153846
2016-02,City Hotel,2365,929,0.39281183932346725
2016-02,Resort Hotel,1519,406,0.2672811059907834
2016-03,City Hotel,3041,1108,0.3643538309766524
2016-03,Resort Hotel,1778,369,0.2075365579302587
2016-04,City Hotel,3558,1538,0.43226531759415404
2016-04,Resort Hotel,1867,522,0.2795929298339582
2016-05,City Hotel,3673,1436,0.39096106724748164
2016-05,Resort Hotel,1802,479,0.2658157602663707
2016-06,City Hotel,3921,1720,0.43866360622290235
2016-06,Resort Hotel,1369,376,0.27465303140978814
